RefMol,EF1%,BEDROC,Target,n_neighbors,metric
ligand_CHEMBL417325,0.0,0.0656722963586876,ADRB2,100,cosine
ligand_CHEMBL513104,1.5604166666666666,0.119395468696251,ADRB2,100,cosine
ligand_CHEMBL513389,0.0,0.0558618794216573,ADRB2,100,cosine
ligand_CHEMBL57185,1.5604166666666666,0.1081796150397932,ADRB2,100,cosine
ligand_CHEMBL72,0.0,0.0981435928023439,ADRB2,100,cosine
ligand_CHEMBL98773,0.0,0.0780136307321778,ADRB2,100,cosine
ligand_CHEMBL1088912,15.767441860465116,0.3066601321289153,CXCR4,10,euclidean
ligand_CHEMBL1088913,22.524916943521596,0.3931032373011198,CXCR4,10,euclidean
ligand_CHEMBL1089845,18.019933554817275,0.3273141200153383,CXCR4,10,euclidean
ligand_CHEMBL1089846,13.514950166112955,0.3517770665320452,CXCR4,10,euclidean
ligand_CHEMBL1092301,11.262458471760796,0.2378044776167984,CXCR4,10,euclidean
ligand_CHEMBL1092324,13.514950166112955,0.3269714675010162,CXCR4,10,euclidean
ligand_CHEMBL1092596,18.019933554817275,0.3535853989901275,CXCR4,10,euclidean
ligand_CHEMBL1092628,6.757475083056478,0.2491709410652193,CXCR4,10,euclidean
ligand_CHEMBL1093008,20.272425249169437,0.37536338088559,CXCR4,10,euclidean
ligand_CHEMBL1094864,9.009966777408636,0.3571790433682149,CXCR4,10,euclidean
ligand_CHEMBL1096504,13.514950166112955,0.2650771166790622,CXCR4,10,euclidean
ligand_CHEMBL452864,20.272425249169437,0.2734865231460746,CXCR4,10,euclidean
ligand_CHEMBL452868,20.272425249169437,0.2738254036896949,CXCR4,10,euclidean
ligand_CHEMBL454689,18.019933554817275,0.2764523818316244,CXCR4,10,euclidean
ligand_CHEMBL460298,20.272425249169437,0.2543392651567885,CXCR4,10,euclidean
ligand_CHEMBL461358,18.019933554817275,0.2413930683493363,CXCR4,10,euclidean
ligand_CHEMBL508054,20.272425249169437,0.2568766901336866,CXCR4,10,euclidean
ligand_CHEMBL541728,20.272425249169437,0.2585558094010144,CXCR4,10,euclidean
ligand_CHEMBL577268,13.514950166112955,0.351550206115982,CXCR4,10,euclidean
ligand_CHEMBL853,0.0,0.024317368985402,CXCR4,10,euclidean
ligand_CHEMBL1088912,20.272425249169437,0.4032497478827575,CXCR4,10,cosine
ligand_CHEMBL1088913,13.514950166112955,0.3288677289955425,CXCR4,10,cosine
ligand_CHEMBL1089845,6.757475083056478,0.2507392740978859,CXCR4,10,cosine
ligand_CHEMBL1089846,6.757475083056478,0.2542978148474235,CXCR4,10,cosine
ligand_CHEMBL1092301,15.767441860465116,0.2694970046690517,CXCR4,10,cosine
ligand_CHEMBL1092324,2.25249169435216,0.1565083893928536,CXCR4,10,cosine
